,fname,tnum,task_phase,trial_type,forced,picked_best,rt,ch_side,left_type,left_prob,right_type,right_prob,chosen_prob,chosen_type,best_type,best_prob,best_side
1,K20240225,1.0,1.0,1.0,-1.0,1.0,149.0,-1.0,1.0,80.0,1.0,0.0,80.0,1.0,1.0,80.0,-1.0
2,K20240225,2.0,1.0,1.0,-1.0,1.0,151.0,-1.0,1.0,20.0,1.0,0.0,20.0,1.0,1.0,20.0,-1.0
3,K20240225,3.0,1.0,1.0,0.0,0.0,139.0,1.0,1.0,80.0,1.0,20.0,20.0,1.0,1.0,80.0,-1.0
4,K20240225,4.0,1.0,1.0,1.0,1.0,154.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
5,K20240225,5.0,1.0,1.0,1.0,1.0,150.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
6,K20240225,6.0,1.0,1.0,0.0,0.0,173.0,1.0,1.0,80.0,1.0,50.0,50.0,1.0,1.0,80.0,-1.0
7,K20240225,7.0,1.0,1.0,0.0,1.0,156.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
8,K20240225,8.0,1.0,1.0,0.0,1.0,137.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
9,K20240225,9.0,1.0,1.0,0.0,1.0,159.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
10,K20240225,10.0,1.0,1.0,-1.0,1.0,157.0,-1.0,1.0,50.0,1.0,0.0,50.0,1.0,1.0,50.0,-1.0
11,K20240225,11.0,1.0,1.0,0.0,1.0,343.0,-1.0,1.0,50.0,1.0,20.0,50.0,1.0,1.0,50.0,-1.0
12,K20240225,12.0,1.0,1.0,1.0,1.0,150.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
13,K20240225,13.0,1.0,1.0,-1.0,1.0,157.0,-1.0,1.0,20.0,1.0,0.0,20.0,1.0,1.0,20.0,-1.0
14,K20240225,14.0,1.0,1.0,0.0,1.0,153.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
15,K20240225,15.0,1.0,1.0,0.0,1.0,306.0,-1.0,1.0,50.0,1.0,20.0,50.0,1.0,1.0,50.0,-1.0
16,K20240225,16.0,1.0,1.0,0.0,1.0,153.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
17,K20240225,17.0,1.0,1.0,0.0,0.0,155.0,1.0,1.0,80.0,1.0,50.0,50.0,1.0,1.0,80.0,-1.0
18,K20240225,18.0,1.0,1.0,0.0,1.0,134.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
19,K20240225,19.0,1.0,1.0,1.0,1.0,153.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
20,K20240225,20.0,1.0,1.0,1.0,1.0,171.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
21,K20240225,21.0,1.0,1.0,-1.0,1.0,154.0,-1.0,1.0,50.0,1.0,0.0,50.0,1.0,1.0,50.0,-1.0
22,K20240225,22.0,1.0,1.0,0.0,1.0,254.0,-1.0,1.0,80.0,1.0,20.0,80.0,1.0,1.0,80.0,-1.0
23,K20240225,23.0,1.0,1.0,-1.0,1.0,170.0,-1.0,1.0,80.0,1.0,0.0,80.0,1.0,1.0,80.0,-1.0
24,K20240225,24.0,1.0,1.0,1.0,1.0,154.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
25,K20240225,25.0,1.0,1.0,-1.0,1.0,151.0,-1.0,1.0,80.0,1.0,0.0,80.0,1.0,1.0,80.0,-1.0
26,K20240225,26.0,1.0,1.0,0.0,1.0,278.0,-1.0,1.0,80.0,1.0,20.0,80.0,1.0,1.0,80.0,-1.0
27,K20240225,27.0,1.0,1.0,-1.0,1.0,172.0,-1.0,1.0,20.0,1.0,0.0,20.0,1.0,1.0,20.0,-1.0
28,K20240225,28.0,1.0,1.0,-1.0,1.0,171.0,-1.0,1.0,50.0,1.0,0.0,50.0,1.0,1.0,50.0,-1.0
29,K20240225,29.0,1.0,1.0,1.0,1.0,155.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
30,K20240225,30.0,1.0,1.0,0.0,1.0,157.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
31,K20240225,31.0,1.0,1.0,0.0,1.0,151.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
32,K20240225,32.0,1.0,1.0,0.0,0.0,179.0,1.0,1.0,80.0,1.0,50.0,50.0,1.0,1.0,80.0,-1.0
33,K20240225,33.0,1.0,1.0,0.0,1.0,161.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
34,K20240225,34.0,1.0,1.0,0.0,1.0,201.0,-1.0,1.0,50.0,1.0,20.0,50.0,1.0,1.0,50.0,-1.0
35,K20240225,35.0,1.0,1.0,1.0,1.0,156.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
36,K20240225,36.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
37,K20240225,37.0,1.0,1.0,0.0,1.0,172.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
38,K20240225,38.0,1.0,1.0,0.0,0.0,177.0,1.0,1.0,80.0,1.0,50.0,50.0,1.0,1.0,80.0,-1.0
39,K20240225,39.0,1.0,1.0,0.0,1.0,144.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
40,K20240225,40.0,1.0,1.0,0.0,1.0,157.0,-1.0,1.0,80.0,1.0,20.0,80.0,1.0,1.0,80.0,-1.0
